,model_type,window,vector_size,training_time,vocabulary_size,model_size_mb
lemmatized_model_cbow_window2_dim100,cbow,2,100,1.0038628578186035,24194,19.1593074798584
lemmatized_model_skipgram_window2_dim100,skipgram,2,100,1.4618396759033203,24194,19.159311294555664
lemmatized_model_cbow_window4_dim100,cbow,4,100,0.9468717575073242,24194,19.1593074798584
lemmatized_model_skipgram_window4_dim100,skipgram,4,100,2.0032784938812256,24194,19.159310340881348
lemmatized_model_cbow_window2_dim300,cbow,2,300,1.3254661560058594,24194,56.07642650604248
lemmatized_model_skipgram_window2_dim300,skipgram,2,300,2.4819395542144775,24194,56.07642936706543
lemmatized_model_cbow_window4_dim300,cbow,4,300,1.4805245399475098,24194,56.07642650604248
lemmatized_model_skipgram_window4_dim300,skipgram,4,300,3.454481840133667,24194,56.07642936706543
stemmed_model_cbow_window2_dim100,cbow,2,100,0.8799242973327637,19255,15.233063697814941
stemmed_model_skipgram_window2_dim100,skipgram,2,100,1.4202532768249512,19255,15.233067512512207
stemmed_model_cbow_window4_dim100,cbow,4,100,0.8390347957611084,19255,15.233063697814941
stemmed_model_skipgram_window4_dim100,skipgram,4,100,1.8941302299499512,19255,15.23306655883789
stemmed_model_cbow_window2_dim300,cbow,2,300,1.1770739555358887,19255,44.61386680603027
stemmed_model_skipgram_window2_dim300,skipgram,2,300,2.0597763061523438,19255,44.61386966705322
stemmed_model_cbow_window4_dim300,cbow,4,300,1.2193655967712402,19255,44.61386680603027
stemmed_model_skipgram_window4_dim300,skipgram,4,300,3.0207014083862305,19255,44.61386966705322
